Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,P1
10,0,0,0,P1
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,
12.5,0,0,0,
13,0,0,0,H-0-10-5:
13.5,0,0,0,H-0-10-5:
14,0,0,0,H-0-10-5:
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,H-1-10-5:
16,0,0,0,H-1-10-5:
16.5,0,0,0,H-1-10-5:
17,0,0,0,H-3-5-2:B
17.5,0,0,0,H-3-5-2:B
18,0,0,0,L
18.5,0,0,0,L
19,0,0,0,L
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,H-3-20-3.353415:C
22.5,0,0,0,H-3-20-3.353415:C
23,0,0,0,H-3-20-3.353415:C
23.5,0,0,0,H-2-10-2.515219:
24,0,0,0,H-2-10-2.515219:
24.5,0,0,0,H-2-7-2.805654:
25,0,0,0,H-2-7-2.805654:
25.5,0,0,0,H-2-7-2.805654:
26,0,0,0,H-0-14-2.07097:C
26.5,0,0,0,H-0-14-2.07097:C
27,0,0,0,H-0-17-2.990803:B
27.5,0,0,0,H-0-17-2.990803:B
28,0,0,0,H-0-17-2.990803:B
28.5,0,0,0,H-3-20-2.584814:BP1
29,0,0,0,H-3-20-2.584814:BP1
29.5,0,0,0,H-1-11-3.936797:
30,0,0,0,H-1-11-3.936797:
30.5,0,0,0,H-1-11-3.936797:
31,0,0,0,H-0-11-5.597801:
31.5,0,0,0,H-0-11-5.597801:
32,0,0,0,N
32.5,0,0,0,N
33,0,0,0,N
33.5,0,0,0,H-0-7.907643-2.522803:
34,0,0,0,H-0-7.907643-2.522803:
34.5,0,0,0,H-1-2.014641-3.413463:C
35,0,0,0,H-1-2.014641-3.413463:C
35.5,0,0,0,H-1-2.014641-3.413463:C
36,0,0,0,H-0-9.077243-5.440419:CP2
36.5,0,0,0,H-0-9.077243-5.440419:CP2
37,0,0,0,H-3-13.7779-4.389307:
37.5,0,0,0,H-3-13.7779-4.389307:
38,0,0,0,H-3-13.7779-4.389307:
38.5,0,0,0,H-1-11.61794-2.48527:P2
39,0,0,0,H-1-11.61794-2.48527:P2
39.5,0,0,0,H-3-8.876529-5.955371:
40,0,0,0,H-3-8.876529-5.955371:
40.5,0,0,0,H-3-8.876529-5.955371:
41,0,0,0,H-2-13.79573-2.71117:P1
41.5,0,0,0,H-2-13.79573-2.71117:P1
42,0,0,0,H-0-15.78843-2.350442:
42.5,0,0,0,H-0-15.78843-2.350442:
43,0,0,0,H-0-15.78843-2.350442:
43.5,0,0,0,H-1-10.09647-4.642942:
44,0,0,0,H-1-10.09647-4.642942:
44.5,0,0,0,H-2-8.421754-2.943455:CP2
45,0,0,0,H-2-8.421754-2.943455:CP2
45.5,0,0,0,H-2-8.421754-2.943455:CP2
46,0,0,0,X
46.5,0,0,0,X
47,0,0,0,H-1-13-3.635264:P2C
47.5,0,0,0,H-1-13-3.635264:P2C
48,0,0,0,H-1-13-3.635264:P2C
48.5,0,0,0,H-1-16-4.938368:C
49,0,0,0,H-1-16-4.938368:C
49.5,0,0,0,H-1-16-4.938368:C
50,0,0,0,H-0-7-4.042549:C
50.5,0,0,0,H-0-7-4.042549:C
51,0,0,0,H-0-6-4.255705:
51.5,0,0,0,H-0-6-4.255705:
52,0,0,0,H-0-6-4.255705:
52.5,0,0,0,H-2-10-2.898562:
53,0,0,0,H-2-10-2.898562:
53.5,0,0,0,H-3-20-2.9873:C
54,0,0,0,H-3-20-2.9873:C
54.5,0,0,0,H-3-20-2.9873:C
55,0,0,0,H-0-9-5.670765:
55.5,0,0,0,H-0-9-5.670765:
56,0,0,0,H-1-12-2.497323:
56.5,0,0,0,H-1-12-2.497323:
57,0,0,0,H-1-12-2.497323:
57.5,0,0,0,H-3-20-5.08331:C
58,0,0,0,H-3-20-5.08331:C
58.5,0,0,0,H-1-15-4.781636:
59,0,0,0,H-1-15-4.781636:
59.5,0,0,0,H-1-15-4.781636:
60,0,0,0,N
60.5,0,0,0,N
61,0,0,0,H-2-14.45477-3.366849:
61.5,0,0,0,H-2-14.45477-3.366849:
62,0,0,0,H-2-14.45477-3.366849:
62.5,0,0,0,H-2-17.1228-3.430698:
63,0,0,0,H-2-17.1228-3.430698:
63.5,0,0,0,H-1-4.785923-3.925836:
64,0,0,0,H-1-4.785923-3.925836:
64.5,0,0,0,H-1-4.785923-3.925836:
65,0,0,0,H-0-12.33931-3.795902:C
65.5,0,0,0,H-0-12.33931-3.795902:C
66,0,0,0,H-2-12.68963-2.556543:
66.5,0,0,0,H-2-12.68963-2.556543:
67,0,0,0,H-2-12.68963-2.556543:
67.5,0,0,0,H-1-6.758275-4.443622:C
68,0,0,0,H-1-6.758275-4.443622:C
68.5,0,0,0,H-1-17.32123-3.838346:P2
69,0,0,0,H-1-17.32123-3.838346:P2
69.5,0,0,0,H-1-17.32123-3.838346:P2
70,0,0,0,H-2-17.44575-3.262698:
70.5,0,0,0,H-2-17.44575-3.262698:
71,0,0,0,H-2-5.308687-3.027:
71.5,0,0,0,H-2-5.308687-3.027:
72,0,0,0,H-2-5.308687-3.027:
72.5,0,0,0,H-0-15.80292-2.742896:P3
73,0,0,0,H-0-15.80292-2.742896:P3
73.5,0,0,0,X
74,0,0,0,X
74.5,0,0,0,X
75,0,0,0,H-2-5-2.785207:
75.5,0,0,0,H-2-5-2.785207:
76,0,0,0,H-2-5-2.785207:
76.5,0,0,0,H-2-5-2.785207:
77,0,0,0,H-2-5-2.785207:
77.5,0,0,0,H-2-5-2.785207:
78,0,0,0,H-2-5-2.785207:
78.5,0,0,0,H-2-5-2.785207:
79,0,0,0,H-2-5-2.785207:
79.5,0,0,0,H-2-5-2.785207:
80,0,0,0,H-2-5-2.785207:
80.5,0,0,0,H-2-5-2.785207:
81,0,0,0,H-2-5-2.785207:
81.5,0,0,0,H-2-5-2.785207:
82,0,0,0,H-2-5-2.785207:
82.5,0,0,0,H-2-5-2.785207:
83,0,0,0,H-2-5-2.785207:
83.5,0,0,0,H-2-5-2.785207:
84,0,0,0,H-2-5-2.785207:
84.5,0,0,0,H-2-5-2.785207:
85,0,0,0,H-2-5-2.785207:
85.5,0,0,0,H-2-5-2.785207:
86,0,0,0,H-2-5-2.785207:
86.5,0,0,0,H-2-5-2.785207:
87,0,0,0,H-2-5-2.785207:
87.5,0,0,0,H-2-5-2.785207:
88,0,0,0,H-2-5-2.785207:
88.5,0,0,0,H-2-5-2.785207:
89,0,0,0,H-2-5-2.785207:
89.5,0,0,0,H-2-5-2.785207:
90,0,0,0,H-2-5-2.785207:
90.5,0,0,0,H-2-5-2.785207:
91,0,0,0,H-2-5-2.785207:
91.5,0,0,0,H-2-5-2.785207:
92,0,0,0,H-2-5-2.785207:
92.5,0,0,0,H-2-5-2.785207:
93,0,0,0,H-2-5-2.785207:
93.5,0,0,0,H-2-5-2.785207:
94,0,0,0,H-2-5-2.785207:
94.5,0,0,0,H-2-5-2.785207:
95,0,0,0,H-2-5-2.785207:
95.5,0,0,0,H-2-5-2.785207:
96,0,0,0,H-2-5-2.785207:
96.5,0,0,0,H-2-5-2.785207:
97,0,0,0,H-2-5-2.785207:
97.5,0,0,0,H-2-5-2.785207:
98,0,0,0,H-2-5-2.785207:
98.5,0,0,0,H-2-5-2.785207:
99,0,0,0,H-2-5-2.785207: